1500|1500
keen4_background_pyramid_brown2|0|0|1500|1500|keen4_background_pyramid_brown2.png|False|0
keen4_pyramid_wall_bottom1|22|1469|64|32|10
keen4_pyramid_wall_bottom1|54|1437|64|32|10
keen4_pyramid_wall_bottom1|86|1405|64|32|10
keen4_pyramid_wall_bottom1|118|1373|64|32|10
keen4_pyramid_wall_bottom1|150|1341|64|32|10
keen4_pyramid_wall_bottom1|182|1309|64|32|10
keen4_pyramid_wall_bottom1|214|1277|64|32|10
keen4_pyramid_wall_bottom1|246|1245|64|32|10
keen4_pyramid_wall_bottom1|278|1213|64|32|10
keen4_pyramid_wall_bottom1|310|1181|64|32|10
keen4_pyramid_wall_bottom1|1405|1469|64|32|10
keen4_pyramid_wall_bottom1|1373|1437|64|32|10
keen4_pyramid_wall_bottom1|1341|1405|64|32|10
keen4_pyramid_wall_bottom1|1309|1373|64|32|10
keen4_pyramid_wall_bottom1|1277|1341|64|32|10
keen4_pyramid_wall_bottom1|1245|1309|64|32|10
keen4_pyramid_wall_bottom1|1213|1277|64|32|10
keen4_pyramid_wall_bottom1|1181|1245|64|32|10
keen4_pyramid_wall_bottom1|1149|1213|64|32|10
keen4_pyramid_wall_bottom1|1117|1181|64|32|10
keen4_removable_platform_right_edge_filled_pyramid|1079|1181|38|64|10|KEEN4_PYRAMID|True|c67c1c8c-058c-4a37-b452-c234c58037e5
keen_stand_right|694|1117|26|64|RIGHT
edge_of_map_tile_debug|-12|1469|32|32|25|BARRIER
edge_of_map_tile_debug|44|1522|32|32|25|BARRIER
edge_of_map_tile_debug|0|1437|32|32|25|BARRIER
edge_of_map_tile_debug|0|1405|32|32|25|BARRIER
edge_of_map_tile_debug|0|1373|32|32|25|BARRIER
edge_of_map_tile_debug|0|1341|32|32|25|BARRIER
edge_of_map_tile_debug|0|1309|32|32|25|BARRIER
edge_of_map_tile_debug|0|1277|32|32|25|BARRIER
edge_of_map_tile_debug|0|1245|32|32|25|BARRIER
edge_of_map_tile_debug|0|1213|32|32|25|BARRIER
edge_of_map_tile_debug|0|1181|32|32|25|BARRIER
edge_of_map_tile_debug|0|1149|32|32|25|BARRIER
edge_of_map_tile_debug|0|1117|32|32|25|BARRIER
edge_of_map_tile_debug|0|1085|32|32|25|BARRIER
edge_of_map_tile_debug|0|1053|32|32|25|BARRIER
edge_of_map_tile_debug|0|1021|32|32|25|BARRIER
edge_of_map_tile_debug|0|989|32|32|25|BARRIER
edge_of_map_tile_debug|0|957|32|32|25|BARRIER
edge_of_map_tile_debug|0|925|32|32|25|BARRIER
edge_of_map_tile_debug|0|893|32|32|25|BARRIER
edge_of_map_tile_debug|0|861|32|32|25|BARRIER
edge_of_map_tile_debug|0|829|32|32|25|BARRIER
edge_of_map_tile_debug|0|797|32|32|25|BARRIER
edge_of_map_tile_debug|0|765|32|32|25|BARRIER
edge_of_map_tile_debug|0|733|32|32|25|BARRIER
edge_of_map_tile_debug|0|701|32|32|25|BARRIER
edge_of_map_tile_debug|0|669|32|32|25|BARRIER
edge_of_map_tile_debug|0|637|32|32|25|BARRIER
edge_of_map_tile_debug|0|605|32|32|25|BARRIER
edge_of_map_tile_debug|0|573|32|32|25|BARRIER
edge_of_map_tile_debug|0|541|32|32|25|BARRIER
edge_of_map_tile_debug|0|509|32|32|25|BARRIER
edge_of_map_tile_debug|0|477|32|32|25|BARRIER
edge_of_map_tile_debug|0|445|32|32|25|BARRIER
edge_of_map_tile_debug|0|413|32|32|25|BARRIER
edge_of_map_tile_debug|0|381|32|32|25|BARRIER
edge_of_map_tile_debug|0|349|32|32|25|BARRIER
edge_of_map_tile_debug|0|317|32|32|25|BARRIER
edge_of_map_tile_debug|0|0|32|32|25|BARRIER
edge_of_map_tile_debug|0|32|32|32|25|BARRIER
edge_of_map_tile_debug|0|64|32|32|25|BARRIER
edge_of_map_tile_debug|0|96|32|32|25|BARRIER
