3000|2000
keen5_outer_space1|0|0|3000|2000|keen5_outer_space1.png|False|-2
keen5_fuel_exhaust_flame1|130|1610|160|160|keen5_fuel_exhaust_flame1.png|True|-1|[keen5_fuel_exhaust_flame1.png,keen5_fuel_exhaust_flame2.png,keen5_fuel_exhaust_flame3.png]|50
keen5_scattered_L_background_plain|200|550|2600|1000|keen5_scattered_L_background_plain.png|False|-1
keen5_moon|146|78|32|32|keen5_moon.png|True|0
keen5_lone_star_blue_small|815|94|32|32|keen5_lone_star_blue_small.png|True|0
keen5_lone_star_blue_small|600|202|32|32|keen5_lone_star_blue_small.png|True|0
keen5_lone_star_blue|444|105|32|32|keen5_lone_star_blue.png|True|0
keen5_outer_space2|959|224|64|64|keen5_outer_space2.png|True|0
keen5_fuel_exhaust_flame1|2700|1610|160|160|keen5_fuel_exhaust_flame1.png|True|0|[keen5_fuel_exhaust_flame1.png,keen5_fuel_exhaust_flame2.png,keen5_fuel_exhaust_flame3.png]|50
keen5_bright_star|1709|1748|26|26|keen5_bright_star.png|True|0
keen5_blue_star_cluster|925|1724|32|32|keen5_blue_star_cluster.png|True|0
keen5_bright_star|925|1756|26|26|keen5_bright_star.png|True|0
keen5_bright_star|312|353|26|26|keen5_bright_star.png|True|0
keen5_distant_galaxy|26|674|64|32|keen5_distant_galaxy.png|True|0
keen5_distant_galaxy|315|1831|64|32|keen5_distant_galaxy.png|True|0
keen5_cyan_gray_background|1114|1613|256|256|keen5_cyan_gray_background.png|False|0
keen5_cyan_gray_background_vent|1176|1611|64|64|keen5_cyan_gray_background_vent.png|True|0
keen5_elevator_rail_corner_top_left|486|1141|26|26|keen5_elevator_rail_corner_top_left.png|True|0
keen5_elevator_rail_corner_bottom_left|486|1423|26|26|keen5_elevator_rail_corner_bottom_left.png|True|0
keen5_elevator_rail_corner_bottom_right|2411|1422|26|26|keen5_elevator_rail_corner_bottom_right.png|True|0
keen5_elevator_rail_corner_top_right|2411|1141|26|26|keen5_elevator_rail_corner_top_right.png|True|0
keen5_elevator_rail_horizontal|512|1141|1900|24|keen5_elevator_rail_horizontal.png|False|0
keen5_elevator_rail_horizontal|512|1425|1900|24|keen5_elevator_rail_horizontal.png|False|0
keen5_scattered_L_background_contraption1|544|752|256|128|keen5_scattered_L_background_contraption1.png|True|0
keen5_scattered_L_background_contraption2|2169|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|2041|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1785|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1913|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1529|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1657|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1273|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1401|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1145|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|1017|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|889|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|761|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|633|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption2|505|1208|128|128|keen5_scattered_L_background_contraption2.png|True|0
keen5_scattered_L_background_contraption3|2569|1254|128|128|keen5_scattered_L_background_contraption3.png|True|0
keen5_scattered_L_background_pipes_vertical|1288|630|64|128|keen5_scattered_L_background_pipes_vertical.png|True|0
keen5_scattered_L_background_pipes_vertical|1288|758|64|128|keen5_scattered_L_background_pipes_vertical.png|True|0
keen5_scattered_L_background_pipes_vertical|1288|886|64|128|keen5_scattered_L_background_pipes_vertical.png|True|0
keen5_scattered_L_background_pipes_vertical|1008|630|64|128|keen5_scattered_L_background_pipes_vertical.png|True|0
keen5_scattered_L_background_pipes_vertical|1008|758|64|128|keen5_scattered_L_background_pipes_vertical.png|True|0
keen5_scattered_L_background_pipes_vertical|1008|886|64|128|keen5_scattered_L_background_pipes_vertical.png|True|0
keen5_cyan_gray_background_control_panel1|1180|1678|64|64|keen5_cyan_gray_background_control_panel1.png|True|0
keen5_elevator_rail_vertical|486|1167|24|256|keen5_elevator_rail_vertical.png|False|1
keen5_elevator_rail_vertical|2413|1167|24|256|keen5_elevator_rail_vertical.png|False|1
keen5_floor_green_edge_left|130|487|72|64|10
keen5_wall_green_edge_left|130|550|70|1000|10
keen5_wall_green_edge_left|130|1550|2664|64|10
keen5_wall_green_middle|2794|550|64|1064|10
keen5_wall_green_edge_left|130|550|1000|64|10
keen5_floor_green_middle|202|487|928|64|10
keen5_floor_green_middle|1226|487|1576|64|10
keen5_wall_green_edge_left|2795|488|64|64|10
keen5_floor_green_edge_left|1098|1859|72|64|10
keen5_floor_green_middle|1170|1859|214|64|10
keen5_pipe_platform|2443|829|346|80|10
keen5_wall_green_edge_left|1226|550|1600|64|10
keen5_pipe_platform|2443|909|346|80|10
keen5_pipe_platform|2443|989|346|80|10
keen5_wall_green_middle|1063|444|64|64|10
keen5_wall_green_middle|1234|444|64|64|10
flipping_platform_still|221|809|64|26|12
keen5_green_pole_manhole|1130|487|96|76|15|keen5_green_pole_manhole|MANHOLE|KEEN5_GREEN
keen5_green_pole_top|1172|456|12|32|15|keen5_green_pole_top|TOP|KEEN5_GREEN
keen5_green_pole_middle|1172|563|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|595|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|627|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|659|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|691|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|723|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|755|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|787|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|819|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|851|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|883|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|915|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|947|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|979|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|1011|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|1172|1043|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_bottom|1172|1075|12|28|15|keen5_green_pole_bottom|BOTTOM|KEEN5_GREEN
keen5_green_pole_middle|385|479|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|447|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|415|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|383|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|351|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|319|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|287|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|255|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|385|223|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_top|385|101|12|32|15|keen5_green_pole_top|TOP|KEEN5_GREEN
keen5_green_pole_middle|485|479|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|447|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|415|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|383|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|351|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|319|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|287|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|255|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|485|223|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_top|485|101|12|32|15|keen5_green_pole_top|TOP|KEEN5_GREEN
keen5_green_pole_middle|585|479|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|447|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|415|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|383|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|351|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|319|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|287|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|255|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|585|223|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_top|585|101|12|32|15|keen5_green_pole_top|TOP|KEEN5_GREEN
keen5_green_pole_middle|685|479|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|685|447|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|685|415|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|685|383|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|685|351|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
keen5_green_pole_middle|685|319|12|32|15|keen5_green_pole_middle|MIDDLE|KEEN5_GREEN
